,Unnamed: 4,Case,Disposition,Penalty,description,alcohol,parking,other,off duty,year
27,,2014-12575,GUILTY,VACATION DAYS (10 day(s) ),"while off-duty,  having been involved in a police incident, did thereafter fail and neglect to report said incident to his commanding officer, as required.",False,False,True,False,2014
28,,2010-22,GUILTY,VACATION DAYS (30 day(s) ),failed to obtain departmental authorization to use his personal vehicle in the performance of an offici al police duty.,False,False,True,False,2010
29,,2015-13788,GUILTY,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) )","while driving, struck a person known to the department one or more times.",False,False,True,False,2015
30,,2014-11581,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, VACATION DAYS (30 day(s) )","while off-duty, was unfit for duty due to the over indulgence of an intoxicant.",True,False,False,False,2014
31,,2015-14580,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off -duty, wrongfully operated a motor vehicle while her ability was impaired by the consumption of alcohol.",True,False,False,False,2015
32,,2015-14580,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, wrongfully consumed an intoxicant to the extent that said police officer was unfit for duty.",True,False,False,False,2015
33,,2015-14580,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2015
34,,2015-14580,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty, wrongfully refused to submit to a breathalyzer test.",True,False,False,False,2015
35,,2015-14162,GUILTY,VACATION DAYS (10 day(s) ),misused a department vehicle for non-departmental business without permission or authority to do so.,False,False,True,False,2015
36,,2018-18739,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (20 day(s) )",left the scene of a motor vehicle accident in which he was involved.,False,False,True,False,2018
37,,2018-18739,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (20 day(s) )",wrongfully operated a motor vehicle while his ability to do so was impaired by an intoxicant.,True,False,False,False,2018
38,,2018-18739,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (20 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2018
39,,2018-18739,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (20 day(s) )",wrongfully refused to submit to a breathalyzer test.,True,False,False,False,2018
40,,2017-17075,GUILTY,VACATION DAYS (15 day(s) ),wrongfully failed to take police action by allowing a subordinate member of the service to drive to his command from a location where said subordinate had been observed or suspected to be unfit for duty or intoxicated due to his consumption of alcohol.,True,False,False,False,2017
41,,2014-12098,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",did fail and neglect to safeguard his department parking permit.,False,True,False,False,2014
42,,2016-15835,GUILTY,VACATION DAYS (10 day(s) ),"while off-duty, wrongfully displayed an unauthorized photocopy of a department-issued parking permit.",False,True,False,False,2016
43,,2015-13489,GUILTY,VACATION DAYS (10 day(s) ),failed to maintain a current new york state driver's license and failed to notify his commanding officer of its suspension,False,False,True,False,2015
44,,2018-19447,GUILTY,VACATION DAYS (20 day(s) ),"while on-duty, failed to properly investigate off-duty police officer for operating a vehicle while under the influence of or impaired by alcohol.",True,False,False,False,2018
45,,2015-13096,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )","while off-duty, did wrongfully operate a motor vehicle under the influence of an intoxicant",True,False,False,False,2015
46,,2015-13096,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )","while off-duty, having been arrested for driving while intoxicated, refused to submit to a breathalyzer test",True,False,False,False,2015
47,,2020-21683,GUILTY,VACATION DAYS (45 day(s) ),failed to notify the radio dispatcher about a vehicle pursuit.,False,False,True,False,2020
48,,2020-21683,GUILTY,VACATION DAYS (45 day(s) ),improper vehicle pursuit.,False,False,True,False,2020
49,,2020-21683,GUILTY,VACATION DAYS (45 day(s) ),"said police officer austin slamowitz, while assigned to the 77th precinct, on or about september 5, 2019, failed to notify a radio dispatcher when pursued vehicle was lost and/or pursuit was terminated.",False,False,True,False,2020
50,,2010-2374,GUILTY,VACATION DAYS (15 day(s) ),failed to prepare report of motor vehicle accident.,False,False,True,False,2010
51,,2010-2374,GUILTY,VACATION DAYS (15 day(s) ),failed to request the response of a patrol supervisor at a motor vehicle accident involving a department vehicle.,False,False,True,False,2010
52,,2017-18159,PLEADED GUILTY,VACATION DAYS (7 day(s) ),"after being involved in an off-duty incident, did fail and neglect to notify the operations unit",False,False,True,False,2017
53,,2015-13648,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )","while off-duty, did own and operate a motor vehicle that did not have a valid registration sticker, lacked insurance, and had only one license plate on said vehicle, rather than the required two, and said license plate was not registered to said vehicle",False,False,True,False,2015
54,,2016-15260,GUILTY,VACATION DAYS (10 day(s) ),unsafely operated a department vehicle resulting in a minor damage to the department vehicle.,False,False,True,False,2016
55,,2015-14422,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )","while off duty, wrongfully operated a motor vehicle while his ability was impaired by the consumption of alcohol.",True,False,False,True,2015
56,,2015-14422,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2015
57,,2015-14422,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (14 day(s) )","while off-duty, wrongfully refused to submit to a breathalyzer test.",True,False,False,False,2015
58,,2017-17162,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), SUSPENDED W/O PAY (13 day(s) ), VACATION DAYS (15 day(s) )",wrongfully involved in a vehicle collision causing  injury to another person or damage to another person's vehicle.,False,False,True,False,2017
59,,2017-17162,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), SUSPENDED W/O PAY (13 day(s) ), VACATION DAYS (15 day(s) )",wrongfully operated a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2017
60,,2017-17162,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), SUSPENDED W/O PAY (13 day(s) ), VACATION DAYS (15 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2017
61,,2017-17162,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), SUSPENDED W/O PAY (13 day(s) ), VACATION DAYS (15 day(s) )",wrongfully refused to submit to a chemical breath test to determine his blood alcohol concentration.,True,False,False,False,2017
62,,2010-274,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",wrongfully operated a motor vehicle while his ability to drive was impaired by an intoxicant.,True,False,False,False,2010
63,,2010-274,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2010
64,,2017-17316,GUILTY,VACATION DAYS (25 day(s) ),"while on duty, failed to safeguard a department vehicle.",False,False,True,False,2017
65,,2017-17316,GUILTY,VACATION DAYS (25 day(s) ),"while on-duty, failed to utilize at least two (2) department vehicles while conducting a checkpoint.",False,False,True,False,2017
66,,2010-827,GUILTY,VACATION DAYS (20 day(s) ),"having been involved in an unusual police occurrence, did thereafter fail to notify the desk officer, precinct of occurrence, of his involvement in an off-duty incident, as required.",False,False,True,False,2010
67,,2017-18165,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",operated a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2017
68,,2017-18165,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",operated a motor vehicle while his blood alcohol content was over the legal limit.,True,False,False,False,2017
69,,,GUILTY,VACATION DAYS (20 day(s) ),displayed his 2016 department issued parking permit in a vehicle that did not match the vehicle registration plate number.,False,True,False,False,
70,,,GUILTY,VACATION DAYS (20 day(s) ),failed to update his address with the department of motor vehicles.,False,False,True,False,
71,,,GUILTY,VACATION DAYS (20 day(s) ),"on three occasions improperly parked his personal vehicle within a ""no standing zone"" and displayed his 2016 department issued parking permit within his vehicle",False,True,False,False,
72,,,GUILTY,VACATION DAYS (20 day(s) ),registered and insured his personal vehicle using an address where he did not reside.,False,False,True,False,
73,,,GUILTY,VACATION DAYS (20 day(s) ),said police officer displayed his 2016 department issued parking permit in a vehicle that did not match the vehicle registration plate number,False,True,False,False,
74,,2018-18867,GUILTY,VACATION DAYS (10 day(s) ),"while on-duty, failed to prepare and complete a police accident report.",False,False,True,False,2018
75,,2018-18456,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (32 day(s) )","while off-duty, wrongfully failed to safeguard department parking permit.",False,True,False,False,2018
76,,2017-18248,GUILTY,VACATION DAYS (15 day(s) ),"while on-duty, failed to make entries into his activity log pertaining to a pursuit",False,False,True,False,2017
77,,2017-18248,GUILTY,VACATION DAYS (15 day(s) ),"while on-duty, failed to notify radio dispatcher at start of pursuit and transmit the required data.",False,False,True,False,2017
78,,2017-18248,GUILTY,VACATION DAYS (15 day(s) ),"while on-duty, failed to prepare a vehicle pursuit report immediately after the pursuit",False,False,True,False,2017
79,,2017-18248,GUILTY,VACATION DAYS (15 day(s) ),"while on-duty, failed to remain at the scene of an accident involving an injured civilian",False,False,True,False,2017
80,,2017-18248,GUILTY,VACATION DAYS (15 day(s) ),"while on-duty, failed to timely terminate a vehicle pursuit",False,False,True,False,2017
81,,2010-15,GUILTY,VACATION DAYS (45 day(s) ),"while off duty having been involved in an unusual police occurrence, said member failed to notify the operations unit .",False,False,True,True,2010
82,,2010-1522,GUILTY,VACATION DAYS (25 day(s) ),failed to safeguard his department issued restricted parking permit resulting in the reproduction of said police officer's parking permit.,False,True,False,False,2010
83,,2015-14917,GUILTY,VACATION DAYS (25 day(s) ),"while on-duty, failed to follow proper directed accident response program procedure.",False,False,True,False,2015
84,,2015-14917,GUILTY,VACATION DAYS (25 day(s) ),"while on-duty, wrongfully failed to conduct a proper investigation of a collision involving a suspected intoxicated driver.",False,False,True,False,2015
85,,2015-14917,GUILTY,VACATION DAYS (25 day(s) ),"while on-duty, wrongfully failed to properly investigate a department vehicle collision.",False,False,True,False,2015
86,,2015-13095,GUILTY,VACATION DAYS (10 day(s) ),"while off-duty, wrongfully possessed and activated an unauthorized blue and red light strip displayed on the dash board of his personal vehicle to conduct a car stop",False,False,True,False,2015
87,,2010-388,GUILTY,REPRIMAND,while off duty failed to report said incident to member's commanding officer .,False,False,True,True,2010
88,,2018-19087,GUILTY,VACATION DAYS (15 day(s) ),fail and neglect to register her personal vehicle.,False,False,True,False,2018
89,,2010-157,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",wrongfully operated a motor vehicle while his ability was impaired by an intoxicant.,True,False,False,False,2010
90,,2010-157,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",wrongfully operated a motor vehicle while intoxicated with a blood alcohol level of .262% bac.,True,False,False,False,2010
91,,2010-157,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (30 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2010
92,,2015-14242,GUILTY,VACATION DAYS (40 day(s) ),"while on-duty, improperly transported a civilian in a department vehicle for personal reasons unrelated to the official business of the department or city of new york.",False,False,True,False,2015
93,,2015-14242,GUILTY,VACATION DAYS (40 day(s) ),"while on-duty, wrongfully utilized a department vehicle for personal reasons unrelated to the official business of the department or the city of new york.",False,False,True,False,2015
94,,2015-13178,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",failed to safeguard an nypd restricted parking permit,False,True,False,False,2015
95,,2010-3311,GUILTY,"COUNSELING, SUSPENDED W/O PAY (31 day(s) ), VACATION DAYS (14 day(s) )","having been involved in an off-duty incident, did  fail and neglect to report said incident to the operations unit",False,False,True,False,2010
96,,2010-1556,GUILTY,"PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (43 day(s) )",involved in a traffic dispute with a person known to the department.,False,False,True,False,2010
97,,2018-19297,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",wrongfully drove a department vehicle or allowed a department vehicle to be used for a non department purpose or non city purpose.,False,False,True,False,2018
98,,2017-18254,PLEADED GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (20 day(s) )",failed to remain at the scene of an off-duty incident.,False,False,True,False,2017
99,,2015-14878,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, operated a motor vehicle while his ability was impaired by an intoxicant.",True,False,False,False,2015
100,,2015-14878,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, refused to submit to a breathalyzer test.",True,False,False,False,2015
101,,2015-14878,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (15 day(s) )","while off-duty, wrongfully operated a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2015
102,,2010-2085,GUILTY,VACATION DAYS (15 day(s) ),"while off-duty, having been involved in a police incident, did thereafter fail to promptly report the facts to his commanding officer, as required.",False,False,True,False,2010
103,,2016-16668,GUILTY,VACATION DAYS (10 day(s) ),while on-duty failed and neglected to immediately notify the patrol supervisor and remain at the scene of a vehicle accident involving a department vehicle and a civilian.,False,False,True,False,2016
104,,2010-3201,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",did wrongfully operate a motor vehicle while his ability was impaired by the consumption of alcohol.,True,False,False,False,2010
105,,2010-3201,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",refused to submit to a breathalyzer test.,True,False,False,False,2010
106,,2010-3201,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )","while off-duty,did wrongfully operate a motor vehicle while under the influence of an intoxicant.",True,False,False,False,2010
107,,2014-11816,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",wrongfully was armed while unfit for duty due to his consumption of an intoxicant.,True,False,False,False,2014
108,,2014-11816,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",wrongfully was unfit for duty due to his consumption of an intoxicant.,True,False,False,False,2014
109,,2017-17378,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",failed to notify and maintain contact with the radio dispatcher upon initiating a vehicle pursuit.,False,False,True,False,2017
110,,2017-17378,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",failed to operate rmp at a slpw rate of speed during a vehicle pursuit.,False,False,True,False,2017
111,,2017-17378,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",failed to terminate a vehicle pursuit when risk to the public and police outweighed the danger to the community.,False,False,True,False,2017
112,,2017-17378,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )","initiated a vehicle pursuit without taking into consideration location, population density, and police necessity.",False,False,True,False,2017
113,,2017-17987,GUILTY,VACATION DAYS (25 day(s) ),"after being involved in an off-duty incident, failed to notify the operations unit and/or his commanding officer in a timely manner.",False,False,True,False,2017
114,,2014-11811,GUILTY,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",wrongfully operated an unregistered vehicle on a public roadway while knowing or having reason to know that said vehicle was unregistered.,False,False,True,False,2014
115,,2018-18871,GUILTY,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (30 day(s) )","after being involved in an unusual police occurrence, did fail and neglect to remain at the scene and request the response of patrol supervisor, precinct of occurrence.",False,False,True,False,2018
116,,2018-19019,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (20 day(s) )",operated a motor vehicle while his ability to do so was impaired by an intoxicant.,True,False,False,False,2018
117,,2018-19019,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (20 day(s) )",refused to submit to a chemical breath test to determine his blood alcohol concentration.,True,False,False,False,2018
118,,2018-19019,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (20 day(s) )",wrongfully operated a motor vehicle at a high rate of speed and improperly changed lines in a reckless manner.,False,False,True,False,2018
119,,2018-19019,GUILTY,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), SUSPENDED W/O PAY (20 day(s) ), VACATION DAYS (20 day(s) )",wrongfully operated a motor vehicle while under the influence of an intoxicant.,True,False,False,False,2018
